B72205S0231K101,5.0,1.8,7.0,4.0,8.5,25.0,0.6,S05K230,230,300,400,7.2,0.10
B72207S0231K101,5.0,1.8,9.0,4.0,11.0,25.0,0.6,S07K230,230,300,1200,17.0,0.25
B72210S0231K101,7.5,2.0,12.0,4.7,14.5,25.0,0.8,S10K230,230,300,2500,36.0,0.40
B72214S0231K101,7.5,2.0,15.5,4.7,18.5,25.0,0.8,S14K230,230,300,4500,60.0,0.60
B72220S0231K101,10.0,2.1,21.5,5.1,25.5,25.0,1.0,S20K230,230,300,8000,130.0,1.00
B72205S0251K101,5.0,1.8,7.0,4.2,8.5,25.0,0.6,S05K250,250,320,400,8.2,0.10
B72207S0251K101,5.0,1.8,9.0,4.2,11.0,25.0,0.6,S07K250,250,320,1200,19.0,0.25
B72210S0251K101,7.5,2.0,12.0,4.8,14.5,25.0,0.8,S10K250,250,320,2500,38.0,0.40
B72214S0251K101,7.5,2.0,15.5,4.8,18.5,25.0,0.8,S14K250,250,320,4500,65.0,0.60
B72220S0251K101,10.0,2.2,21.5,5.3,25.5,25.0,1.0,S20K250,250,320,8000,140.0,1.00
B72205S0271K101,5.0,2.0,7.0,4.3,8.5,25.0,0.6,S05K275,275,350,400,8.6,0.10
B72207S0271K101,5.0,2.0,9.0,4.4,11.0,25.0,0.6,S07K275,275,350,1200,21.0,0.25
B72210S0271K101,7.5,2.2,12.0,5.0,14.5,25.0,0.8,S10K275,275,350,2500,43.0,0.40
B72214S0271K101,7.5,2.2,15.5,5.0,18.5,25.0,0.8,S14K275,275,350,4500,71.0,0.60
B72220S0271K101,10.0,2.3,21.5,5.4,25.5,25.0,1.0,S20K275,275,350,8000,151.0,1.00
B72205S0301K101,5.0,2.1,7.0,4.5,8.5,25.0,0.6,S05K300,300,385,400,9.6,0.10
B72207S0301K101,5.0,2.1,9.0,4.5,11.0,25.0,0.6,S07K300,300,385,1200,23.0,0.25
B72210S0301K101,7.5,2.3,12.0,5.1,14.5,25.0,0.8,S10K300,300,385,2500,47.0,0.40
B72214S0301K101,7.5,2.3,15.5,5.2,18.5,25.0,0.8,S14K300,300,385,4500,76.0,0.60
B72220S0301K101,10.0,2.4,21.5,5.6,25.5,25.0,1.0,S20K300,300,385,8000,173.0,1.00
B72205S0321K101,5.0,2.3,7.0,4.8,9.0,25.0,0.6,S05K320,320,420,400,11.0,0.10
B72207S0321K101,5.0,2.3,9.0,4.8,11.5,25.0,0.6,S07K320,320,420,1200,25.0,0.25
B72210S0321K101,7.5,2.4,12.0,5.4,15.0,25.0,0.8,S10K320,320,420,2500,50.0,0.40
B72214S0321K101,7.5,2.4,15.5,5.4,19.0,25.0,0.8,S14K320,320,420,4500,84.0,0.60
B72220S0321K101,10.0,2.6,21.5,5.8,25.5,25.0,1.0,S20K320,320,420,8000,184.0,1.00
B72205S0381K101,5.0,2.5,7.0,5.1,9.0,25.0,0.6,S05K385,385,505,400,13.0,0.10
B72207S0381K101,5.0,2.5,9.0,5.2,11.5,25.0,0.6,S07K385,385,505,1200,28.0,0.25
B72210S0381K101,7.5,2.7,12.0,5.8,15.0,25.0,0.8,S10K385,385,505,2500,40.0,0.40
B72214S0381K101,7.5,2.7,15.5,5.9,19.0,25.0,0.8,S14K385,385,505,4500,80.0,0.60
